top,bottom,shoes,watches
Red,Green,Brown,Brown
Red,Yellow,Brown,Brown
Red,Orange,Brown,Brown
Red,Green,Brown,Gold
Red,Yellow,Brown,Gold
Red,Orange,Brown,Gold
Black,White,Black,Black
Black,Navy Blue,Black,Black
Black,Navy Blue,Grey,Black
Black,White,Black,Silver
Black,Navy Blue,Black,Silver
Black,Navy Blue,Grey,Silver
Black,Grey,Black,Black
Black,Grey,White,Black
Brown,Blue,Brown,Brown
Black,Grey,Black,Silver
Black,Grey,White,Silver
Brown,Blue,Brown,Gold
Brown,Tan,Brown,Brown
Brown,Beige,Brown,Brown
Brown,Blue,Navy Blue,Brown
Brown,Tan,Beige,Brown
Brown,Beige,Beige,Brown
Brown,Tan,Brown,Gold
Brown,Beige,Brown,Gold
Brown,Blue,Navy Blue,Gold
Brown,Tan,Beige,Gold
Brown,Beige,Beige,Gold
Blue,Orange,Brown,Silver
Blue,Teal,Brown,Silver
Blue,Purple,Brown,Silver
Blue,Orange,White,Silver
Blue,Teal,Grey,Silver
Blue,Purple,Black,Silver
Blue,Orange,Brown,Brown
Blue,Teal,Brown,Brown
Blue,Purple,Brown,Brown
Blue,Orange,White,White
Blue,Teal,Grey,Grey
Blue,Purple,Black,Black
Green,Red,Brown,Brown
Green,Yellow,Brown,Brown
Green,Teal,Brown,Brown
Green,Red,Tan,Brown
Green,Yellow,Beige,Brown
Green,Teal,Grey,Silver
Green,Red,Brown,Gold
Green,Yellow,Brown,Gold
Green,Teal,Brown,Silver
Green,Red,Tan,Gold
Green,Yellow,Beige,Gold
Green,Teal,Grey,Grey
White,Black,Black,Black
White,Grey,Black,Black
White,Silver,Black,Black
White,Cream,Brown,Brown
White,Ivory,Brown,Brown
White,Black,Brown,Black
White,Grey,Grey,Silver
White,Silver,Grey,Silver
White,Cream,White,Silver
White,Ivory,Whie,Silver
White,Black,Black,Silver
White,Grey,Black,Silver
White,Silver,Black,Silver
White,Cream,Brown,Gold
White,Ivory,Brown,Gold
White,Black,Brown,Silver
White,Grey,Grey,Grey
White,Silver,Grey,Grey
White,Cream,White,White
White,Ivory,Whie,White
Yellow,Purple,Brown,Brown
Yellow,Green,Brown,Brown
Yellow,Orange,Brown,Brown
Yellow,Purple,Black,Black
Yellow,Green,Beige,Brown
Yellow,Orange,White,Silver
Yellow,Purple,Brown,Gold
Yellow,Green,Brown,Gold
Yellow,Orange,Brown,Gold
Yellow,Purple,Black,Silver
Yellow,Green,Beige,Gold
Yellow,Orange,White,White
Orange,Blue,Brown,Brown
Orange,Red,Brown,Brown
Orange,Yellow,Brown,Brown
Orange,Blue,Black,Black
Orange,Red,Black,Black
Orange,Yellow,Beige,Brown
Orange,Blue,Brown,Silver
Orange,Red,Brown,Gold
Orange,Yellow,Brown,Gold
Orange,Blue,Black,Silver
Orange,Red,Black,Silver
Orange,Yellow,Beige,Gold
Sky Blue,Orange,Brown,Brown
Sky Blue,Teal,Brown,Brown
Sky Blue,Aqua,Brown,Brown
Sky Blue,Orange,White,Silver
Sky Blue,Teal,Grey,Silver
Sky Blue,Aqua,Grey,Silver
Sky Blue,Orange,Brown,Silver
Sky Blue,Teal,Brown,Silver
Sky Blue,Aqua,Brown,Silver
Sky Blue,Orange,White,White
Sky Blue,Teal,Grey,Grey
Sky Blue,Aqua,Grey,Grey
Pink,Green,Brown,Brown
Pink,Magenta,Black,Black
Pink,Purple,Brown,Brown
Pink,Peach,Brown,Brown
Pink,Green,Grey,Silver
Pink,Magenta,Grey,Silver
Pink,Purple,Black,Silver
Pink,Peach,Beige,Brown
Pink,Green,Brown,Silver
Pink,Magenta,Black,Silver
Pink,Purple,Brown,Silver
Pink,Peach,Brown,Silver
Pink,Green,Grey,Grey
Pink,Magenta,Grey,Grey
Pink,Purple,Black,Black
Pink,Peach,Beige,Gold
Purple,Yellow,Black,Black
Purple,Violet,Black,Black
Purple,Lavender,Black,Black
Purple,Indigo,Brown,Brown
Purple,Yellow,Brown,Brown
Purple,Violet,Brown,Brown
Purple,Lavender,Brown,Brown
Purple,Indigo,Black,Silver
Purple,Yellow,Black,Silver
Purple,Violet,Black,Silver
Purple,Lavender,Black,Silver
Purple,Indigo,Brown,Silver
Purple,Yellow,Brown,Gold
Purple,Violet,Brown,Gold
Purple,Lavender,Brown,Gold
Purple,Indigo,Black,Black
Grey,Red,Black,Black
Grey,Silver,Black,Black
Grey,Taupa,Brown,Brown
Grey,Beige,Brown,Brown
Grey,Red,Brown,Brown
Grey,Silver,Grey,Silver
Grey,Taupa,Grey,Silver
Grey,Beige,Beige,Brown
Grey,Red,Black,Silver
Grey,Silver,Black,Silver
Grey,Taupa,Brown,Gold
Grey,Beige,Brown,Gold
Grey,Red,Brown,Gold
Grey,Silver,Grey,Grey
Grey,Taupa,Grey,Grey
Grey,Beige,Beige,Gold
